,coin_name,exchange_name,pair,price,updated,volume_24h,volume_pc
0,Ethereum,Binance,ETH/BTC,$739.80,Recently,"$232,900,000",9.72%
1,Ethereum,OKEx,ETH/BTC,$742.16,Recently,"$152,839,000",6.38%
2,Ethereum,Ethfinex,ETH/USD,$724.23,Recently,"$90,476,400",3.78%
3,Ethereum,Bitfinex,ETH/USD,$723.61,Recently,"$90,406,100",3.77%
4,Ethereum,Binance,TRX/ETH,$751.62,Recently,"$82,382,900",3.44%
5,Ethereum,Bit-Z,ETH/BTC,$737.82,Recently,"$75,515,200",3.15%
6,Ethereum,OKEx,ETH/USDT,$725.07,Recently,"$73,372,000",3.06%
7,Ethereum,Bithumb,ETH/KRW,$960.48,Recently,"$70,702,600",2.95%
8,Ethereum,HitBTC,ETH/BTC,$738.14,Recently,"$70,156,800",2.93%
9,Ethereum,Binance,XRP/ETH,$734.28,Recently,"$69,874,100",2.92%
10,Ethereum,Binance,XVG/ETH,$758.96,Recently,"$66,588,900",2.78%
11,Ethereum,Bittrex,ETH/BTC,$738.75,Recently,"$61,570,200",2.57%
12,Ethereum,GDAX,ETH/USD,$728.91,Recently,"$61,460,800",2.56%
13,Ethereum,Poloniex,ETH/BTC,$737.63,Recently,"$50,280,000",2.10%
14,Ethereum,Binance,ETH/USDT,$723.71,Recently,"$42,548,200",1.78%
15,Ethereum,Bitfinex,ETH/BTC,$737.76,Recently,"$39,676,700",1.66%
16,Ethereum,Huobi,ETH/USDT,$724.95,Recently,"$32,600,500",1.36%
17,Ethereum,Binance,MCO/ETH,$735.37,Recently,"$26,470,500",1.10%
18,Ethereum,CoinEgg,ETH/BTC,$750.03,Recently,"$24,490,800",1.02%
19,Ethereum,Binance,ADA/ETH,$736.20,Recently,"$23,365,600",0.97%
20,Ethereum,Huobi,SMT/ETH,$728.10,Recently,"$22,020,300",0.92%
21,Ethereum,Coinone,ETH/KRW,$960.76,Recently,"$20,617,400",0.86%
22,Ethereum,Kraken,ETH/EUR,$754.94,Recently,"$19,999,700",0.83%
23,Ethereum,Huobi,ETH/BTC,$738.63,Recently,"$19,800,400",0.83%
24,Ethereum,Gemini,ETH/USD,$724.69,Recently,"$18,019,500",0.75%
25,Ethereum,GDAX,ETH/BTC,$740.80,Recently,"$16,520,900",0.69%
26,Ethereum,Binance,REQ/ETH,$761.81,Recently,"$16,249,100",0.68%
27,Ethereum,Bitstamp,ETH/USD,$726.18,Recently,"$16,049,700",0.67%
28,Ethereum,YoBit,ETH/BTC,$735.35,Recently,"$15,238,000",0.64%
29,Ethereum,Binance,EOS/ETH,$721.96,Recently,"$14,060,200",0.59%
30,Ethereum,ZB.COM,ETH/USDT,$814.32,Recently,"$13,899,700",0.58%
31,Ethereum,Livecoin,ETH/BTC,$736.05,Recently,"$13,706,500",0.57%
32,Ethereum,Binance,XLM/ETH,$745.83,Recently,"$13,572,700",0.57%
33,Ethereum,Bibox,BIX/ETH,$741.12,Recently,"$13,146,600",0.55%
34,Ethereum,Bittrex,ETH/USDT,$727.41,Recently,"$11,867,500",0.50%
35,Ethereum,Poloniex,ETH/USDT,$722.67,Recently,"$11,656,400",0.49%
36,Ethereum,Korbit,ETH/KRW,$961.79,Recently,"$11,548,500",0.48%
37,Ethereum,Kraken,ETH/USD,$730.29,Recently,"$11,479,100",0.48%
38,Ethereum,Kraken,ETH/BTC,$736.17,Recently,"$11,004,600",0.46%
39,Ethereum,Binance,POE/ETH,$734.65,Recently,"$10,219,700",0.43%
40,Ethereum,GDAX,ETH/EUR,$767.08,Recently,"$9,452,360",0.39%
41,Ethereum,CoolCoin,ETH/BTC,$735.35,Recently,"$9,073,500",0.38%
42,Ethereum,HitBTC,ETH/USDT,$726.64,Recently,"$8,744,420",0.36%
43,Ethereum,Bitstamp,ETH/BTC,$738.75,Recently,"$8,733,170",0.36%
44,Ethereum,Bittrex,XRP/ETH,$737.37,Recently,"$8,522,730",0.36%
45,Ethereum,RightBTC,ETH/BTC,$738.48,Recently,"$8,507,600",0.35%
46,Ethereum,Binance,IOTA/ETH,$724.90,Recently,"$8,493,640",0.35%
